GameID, MatchID, Visitor, Vabbr, Home, Habbr, V Score, H Score, Draws, GameNo, VPoints, HPoints, BuildID, InstanceID, MapGUID, State, Start Date, StageID, Match Type, V1, V2, V3, V4, V5, V6, H1, H2, H3, H4, H5, H6 
20822 , 21211 , Philadelphia Fusion , PHI , London Spitfire , LDN , 3 , 1 , 0 , 1 , 2 , 1 , 54892 , 05c00f0a08000002:03643ee6063d0343 , 0x080000000000066D , CONCLUDED , 1550188800000 , 4671 , OPEN_MATCH , 4620 , 4083 , 4669 , 4668 , 4079 , 4024 , 4660 , 4656 , 4655 , 4666 , 4662 , 4659 , 0
20881 , 21211 , Philadelphia Fusion , PHI , London Spitfire , LDN , 3 , 1 , 0 , 2 , 3 , 2 , 54892 , 05c00f0a08000002:0366835e20230359 , 0x08000000000002AF , CONCLUDED , 1550188800000 , 4671 , OPEN_MATCH , 4079 , 4669 , 4024 , 4620 , 4668 , 4083 , 4660 , 4656 , 4659 , 4666 , 4655 , 4662 , 0
20882 , 21211 , Philadelphia Fusion , PHI , London Spitfire , LDN , 3 , 1 , 0 , 3 , 4 , 5 , 54892 , 05c00f0a08000002:0366d888d9ef035c , 0x08000000000001DB , CONCLUDED , 1550188800000 , 4671 , OPEN_MATCH , 4620 , 4083 , 4669 , 4668 , 4079 , 4024 , 4660 , 4656 , 4655 , 4666 , 4662 , 4659 , 0
20883 , 21211 , Philadelphia Fusion , PHI , London Spitfire , LDN , 3 , 1 , 0 , 4 , 1 , 0 , 54892 , 05c00f0a08000002:03676063a3cc035e , 0x0800000000000871 , CONCLUDED , 1550188800000 , 4671 , OPEN_MATCH , 4620 , 4083 , 4669 , 4668 , 4079 , 4024 , 4660 , 4656 , 4655 , 4666 , 4662 , 4659 , 0
20809 , 21221 , New York Excelsior , NYE , Boston Uprising , BOS , 2 , 1 , 1 , 1 , 2 , 0 , 54892 , 05c00f0a08000002:036788bf04c5035f , 0x08000000000004B7 , CONCLUDED , 1550194800000 , 4671 , OPEN_MATCH , 4841 , 4653 , 8236 , 4093 , 4654 , 4649 , 4607 , 5878 , 8184 , 5863 , 8672 , 8203 , 0
20810 , 21221 , New York Excelsior , NYE , Boston Uprising , BOS , 2 , 1 , 1 , 2 , 3 , 4 , 54892 , 05c00f0a08000002:0367ef4368aa036c , 0x0800000000000751 , CONCLUDED , 1550194800000 , 4671 , OPEN_MATCH , 4841 , 4653 , 8236 , 4093 , 4654 , 4649 , 4607 , 5878 , 8184 , 5863 , 8203 , 8672 , 0
20891 , 21221 , New York Excelsior , NYE , Boston Uprising , BOS , 2 , 1 , 1 , 3 , 4 , 4 , 54892 , 05c00f0a08000002:03684ec707f3036d , 0x08000000000006D3 , CONCLUDED , 1550194800000 , 4671 , OPEN_MATCH , 4841 , 4653 , 8236 , 4093 , 4654 , 4649 , 4607 , 5878 , 8184 , 5863 , 8203 , 3981 , 0
20892 , 21221 , New York Excelsior , NYE , Boston Uprising , BOS , 2 , 1 , 1 , 4 , 3 , 2 , 54892 , 05c00f0a08000002:0368d3adda720370 , 0x08000000000005BB , CONCLUDED , 1550194800000 , 4671 , OPEN_MATCH , 4841 , 4653 , 8236 , 4093 , 4654 , 4649 , 4607 , 5878 , 8184 , 5863 , 8203 , 3981 , 0
20893 , 21231 , Seoul Dynasty , SEO , Los Angeles Gladiators , GLA , 3 , 1 , 0 , 1 , 0 , 2 , 54892 , 05c00f0a08000002:03694fb3f1f40383 , 0x080000000000066D , CONCLUDED , 1550201400000 , 4671 , OPEN_MATCH , 4631 , 4657 , 8242 , 4642 , 4105 , 8179 , 4144 , 4645 , 4644 , 4643 , 8222 , 5809 , 0
20894 , 21231 , Seoul Dynasty , SEO , Los Angeles Gladiators , GLA , 3 , 1 , 0 , 2 , 3 , 1 , 54892 , 05c00f0a08000002:0369780023b60385 , 0x08000000000000D4 , CONCLUDED , 1550201400000 , 4671 , OPEN_MATCH , 4631 , 4657 , 8242 , 4642 , 4105 , 8179 , 4144 , 4645 , 4644 , 4643 , 8222 , 5809 , 0
