Team,control,assault,hybrid,escort,all,
ATL,1618.4192117303164,1491.6270924615578,1572.760307520633,1565.2837592223045,1608.0355021251562,
BOS,1280.78290257635,1321.7692141259276,1381.7784682743961,1348.478171318312,1335.893510227016,
CDH,1573.365109508785,1443.3937792889594,1512.0196602297508,1398.5607655725585,1517.3533254579222,
DAL,1518.2354931843197,1383.646204986852,1373.9118353697606,1325.5933305889262,1421.1152771040086,
FLA,1257.6667056704614,1463.4440411585138,1383.1439927179504,1367.6139618166753,1420.8634451348273,
GLA,1551.513227628108,1571.0547437466116,1721.772927332269,1516.3755230651186,1602.5412980246322,
GZC,1626.1691307480082,1517.9569736978544,1544.8667963805842,1495.0308618693448,1586.7215704031987,
HOU,1469.8842462417003,1373.2738177008769,1367.9805879548107,1429.9491866502094,1439.3723385510705,
HZS,1549.7756610512427,1604.8704238325306,1656.4240809899152,1550.6793419558987,1604.3107517949325,
LDN,1483.792758162527,1553.4658283634988,1534.5037857799666,1474.6113395869895,1522.2182362659173,
NYE,1560.1115904997012,1569.4820574900218,1606.0927820828074,1585.702743598013,1569.8598418908537,
PAR,1312.5085120335052,1340.7034809797237,1462.219289032628,1558.8563483220098,1450.3355025650621,
PHI,1420.1729975400312,1393.1964005777997,1547.7769331598452,1525.9813882727321,1488.8111453366269,
SEO,1710.5011547593972,1524.1316368874805,1623.5375570975118,1444.719481380959,1600.4855920531259,
SFS,1718.2137880768776,1866.5034333258502,1718.40585519777,1864.961546032431,1795.129896524369,
SHD,1604.5000441142513,1574.0935432234048,1420.8051310505662,1541.1844947704926,1543.8456406812063,
TOR,1401.308266124256,1405.4292472042857,1250.644405998164,1261.9476573821235,1351.4729543353221,
VAL,1535.4080048087076,1494.6485910329875,1418.6266317533837,1632.8641563015776,1538.4513927627136,
VAN,1701.4937924276808,1627.6212187146104,1854.8877820094006,1702.3019463416247,1696.9388808406727,
WAS,1380.7416285480904,1400.2477289419562,1324.8862520959224,1394.2761115826925,1433.2640687000364,
